index,artist,title,mood,Lyrics
0,ML1,George Michael,I Want Your Sex,happy,"There's things that you guess
And things that you know
There's boys that you can trust
And girls that you don't

There's little things you hide
And little things that you show
Sometimes you think you're gonna get it
But you don't and that's just the way it goes

I swear I won't tease you
Won't tell you no lies
I don't need no bible
Just look in my eyes

I've waited so long baby
Now that we're friends
Every man's got his patience
And here's where mine ends

I want your sex
I want your love
I want your sex
I want your... sex

It's playing on my mind
It's dancing on my soul
It's taken so much time
So why don't you just let me go

I'd really like to try
Oh, I'd really love to know
When you tell me you're gonna regret it
Then I tell you that I love you but you still say NO

I swear I won't tease you
Won't tell you no lies
I don't need no bible
Just look in my eyes

I've waited so long baby
Out in the cold
I can't take much more girl
I'm losing control

I want your sex
I want your love
I want your sex
I want your... sex

It's natural
It's chemical (Let's do it)
It's logical
Habitual (Can we do it?)

It's sensual
But most of all...
Sex is something that we should do
Sex is something for me and you

Sex is natural, sex is good
Not everybody does it
But everybody should
Sex is natural, sex is fun
Sex is best when it's... one on one
One on one

I'm not your father
I'm not your brother
Talk to your sister
I am a lover

C-c-c-c-come on

What's your definition of dirty baby
What do you consider pornography
Don't you know I love it till it hurts me baby
Don't you think it's time you had sex with me

What's your definition of dirty baby
What do you call pornography
Don't you know I love it till it hurts me baby
Don't you think it's time you had sex with me

Sex with me
Sex with me
Have sex with me

C-c-c-c-come on"
1,ML2,Rob Zombie,Pussy Liquor,angry,"Baby:
Gimme a B
Gimme a A
Gimme a B
Gimme a Y

What's that spell?
What's that spell?
What's that spell?

Cheerleader: Baby

Earl had a baby
Baby was her name
He knew she was crazy
Tiny was the same
Down behind the shed
Slaughtering the hog
Slice it on the belly
Feed it to the dog

One, two, three, who should I kill?
Every motherfucker running up the hill
One, two, three, what should I do?
Get fucked up and fuck up you

Pussy liquor
Make ya sicker
Pussy liquor
Do it quicker

Baby: Yeah, I like to get fucked up, fucked up
Goober: Yeah, I like to get fucked up too
Baby: Yeah, I bet you do
Baby: Yeah, I like to get fucked up, fucked up
Goober: Yeah, I like to get fucked up too
Baby: Yeah, I bet you do

Earl had a baby
Otis was his name
White as a ghost, totally insane
Otis loves the girls
Young and clean
Drowning in a bucket of gasoline

One, two, three, who should I kill?
Every motherfucker running up the hill
One, two, three, what should I do?
Get fucked up and fuck up you

Pussy liquor
Make ya sicker
Pussy liquor
Do it quicker

Baby: Yeah, I like to get fucked up, fucked up
Goober: Yeah, I like to get fucked up too
Baby: Yeah, I bet you do
Baby: Yeah, I like to get fucked up, fucked up
Goober: Yeah, I like to get fucked up too
Baby: Yeah, I bet you do

Don't you know something
They won't tell
Time on my mind
Send them to a hell
Burnin' in the house
Spirits are alive
A tongue lashing mama
Help 'em to survive

One, two, three, who should I kill?
Every motherfucker running up the hill
One, two, three, what should I do?
Get fucked up and fuck up you

Pussy liquor
Make ya sicker
Pussy liquor
Do it quicker

Baby: Yeah, I like to get fucked up, fucked up
Goober: Yeah, I like to get a blow job too
Baby: Yeah, I bet you do"
2,ML3,Katatonia,12,sad,"Black theatre of love
Violet dancers cast their blood
The moon gave me flowers
For funerals to come

12 shapes bow before her
I am still one of them
12 morbid ways to die
Her beauty scares me

I'm falling deeper
No more pain to feel now
Touch the silence
Afraid of hell

Black theatre of love
Violet dancers drink my blood
The moon gave me flowers
For funerals to come

I cannot breathe
I am losing life
The moon paints the skyline blue
She died so beautiful"
3,ML4,Bing Crosby,Swinging On A Star,happy,"Would you like to swing on a star
Carry moonbeams home in a jar
And be better off than you are
Or would you rather be a mule?

A mule is an animal with long funny ears
Kicks up at anything he hears
His back is brawny but his brain is weak
He's just plain stupid with a stubborn streak
And by the way, if you hate to go to school
You may grow up to be a mule

Or would you like to swing on a star
Carry moonbeams home in a jar
And be better off than you are
Or would you rather be a pig?

A pig is an animal with dirt on his face
His shoes are a terrible disgrace
He has no manners when he eats his food
He's fat and lazy and extremely rude
But if you don't care a feather or a fig
You may grow up to be a pig

Or would you like to swing on a star
Carry moonbeams home in a jar
And be better off than you are
Or would you rather be a fish?

A fish won't do anything, but swim in a brook
He can't write his name or read a book
To fool the people is his only thought
And though he's slippery, he still gets caught
But then if that sort of life is what you wish
You may grow up to be a fish

A new kind of jumped up slippery fish

And all the monkeys aren't in the zoo
Everyday you'll meet quite a few
So you see it's all up to you
You can be better than you are
You could be swingin' on a star"
4,ML5,Ludacris,Get Back,angry,"Hands up! Hands up
Here's another one
And a - and another one

Eet eet WHOOP WHOOP! why you all in my ear?
Talking a whole bunch of shit
That I ain't trying to hear
Get back mothafucker You don't know me like that
(Get back mothafucker)! You don't know me like that!)
Eet eet WHOOP WHOOP! I ain't playing around
Make one false move I'll take ya down
Get back mothafucker! You don't know me like that
(Get back mothafucker! You don't know me like that!)

WHOO! S-s-so c'mon c'mon
DON'T ... get swung on, swung on
It's the knick knack paddywhack, still ride in Cadillacs
Family off the street! made my homies put the baggies back
Still stacking plaques! (yep!) still action packed! (yep!)
And dough! I keep it flipping like acrobats
That's why I pack a mac, that'll crack 'em back
Cause on my waist there's more Heat than the Shaq Attack
But I ain't speaking about ballin, ballin
Just thinking about brawlin till y'all start bawlin'
We all in together now, birds of a feather now
Just bought a plane so we changing the weather now
So put your brakes on, caps put your capes on
Or knock off your block, get dropped and have your face flown
'Cause I'll prove it! scratch off the music
Like hey little stupid! don't make me lose it!

Eet eet WHOOP WHOOP! why you all in my ear?
Talking a whole bunch of shit
That I ain't trying to hear
Get back mothafucker You don't know me like that
(Get back mothafucker)! You don't know me like that!)
Eet eet WHOOP WHOOP! I ain't playing around
Make one false move I'll take ya down
Get back mothafucker! You don't know me like that
(Get back mothafucker! You don't know me like that!)

I came (I came) I saw (I saw)
I hit 'em right dead in the jaw (in the jaw)
I came (I came) I saw (I saw)
I hit 'em right dead in the jaw (in the jaw)
I came (I came) I saw (I saw)
I hit 'em right dead in the jaw (in the jaw)
I came (I came) I saw (I saw)
I hit 'em right dead in the jaw (in the jaw)

See I caught 'em wit a right hook, caught 'em wit a jab
Caught 'em wit an uppercut, kicked 'em in his ass
Sent him on his way 'cause I ain't for that talk
No trips to the county, I ain't for that walk
We split like two pins at the end of a lane
We'll knock out your spotlight and put an end to your fame
Put a DTP pendant at the end of yo chain
Then put the booty of a Swisha at the end of a flame

Eet eet WHOOP WHOOP! why you all in my ear?
Talking a whole bunch of shit
That I ain't trying to hear
Get back mothafucker You don't know me like that
(Get back mothafucker)! You don't know me like that!)
Eet eet WHOOP WHOOP! I ain't playing around
Make one false move I'll take ya down
Get back mothafucker! You don't know me like that
(Get back mothafucker! You don't know me like that!)

HEY! You want WHAT wit me?
I'm a tell you one time, don't FUCK wit me
GET DOWN! 'Cause I ain't got nothing to lose
I'm having a bad day, don't make me take it out on you
You want WHAT wit me?
I'm a tell you one time, don't FUCK wit me
GET DOWN! 'Cause I ain't got nothing to lose
And I'm having a bad day, don't make me take it out on you

Man! 'Cause I don't wanna do that
I want to have a good time and enjoy my Jack
Sit back and watch the women get drunk as hell
So I can wake up in the morning wit a story to tell
I know it's been a lil while since I been out the house
But now I'm here, you wanna stand around
Running your mouth?
I can't hear nothing you saying or spitting, so what's up
Don't you see we in the club?! Man shut the fuck up!

Eet eet WHOOP WHOOP! why you all in my ear?
Talking a whole bunch of shit
That I ain't trying to hear
Get back mothafucker You don't know me like that
(Get back mothafucker)! You don't know me like that!)
Eet eet WHOOP WHOOP! I ain't playing around
Make one false move I'll take ya down
Get back mothafucker! You don't know me like that
(Get back mothafucker! You don't know me like that!)

Ah! We in the Red Light District!
Ah! We in the Red Light District!
WHOO! We in the Red Light District!
Ah! We in the Red Light District!
WHOO! We in the Red Light District!
WHOO! The Red Light District!
WHOO! The Red Light District!
Ah, we in The Red Light District"
5,ML6,Hole,Violet,angry,"And the sky was made of amethyst
And all the stars look just like little fish
You should learn when to go
You should learn how to say ""no""

Might last a day, yeah
Mine is forever
But it last a day, yeah
Mine is forever

When they get what they want
They never want it again
When they get what they want
Well, they never want it again

Go on take everything
Take everything - I want you to
Go on take everything
Take everything - I want you to

And the sky was all violet
I wanna give my violet more violence
Hey, I'm the one with no soul
One above and one below

Might last a day, yeah
Mine is forever
But it last a day, yeah
Mine is forever

When they get what they want
They never want it again
When they get what they want
Well, they never want it again

Go on take everything
Take everything - I want you to
Go on take everything
Take everything - I dare you to

I told you from the start
Just how this would end
When I get what I want
Well, I never want it again

Go on take everything
Take everything - I want you to
Go on take everything
Take everything - I want you to

Flow right in your mind
You're mine

Go on take everything
Take everything - I want you to
Go on take everything
Take everything - I want you to

Go on take everything
Take everything - I want you to
Go on take everything
Take everything, take everything, take everything"
6,ML7,Manic Street Preachers,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,angry,"Next Thursday, you are invited to watch Rising Tide's live coverage of a gala tribute and salute to Ronald Reagan. Host Haley Barbour joins special guest Lady Margaret Thatcher in celebrating the former president's 83rd birthday. Tickets are 1000 dollars a plate, but you can see the event for free on GOP-TV.

Images of perfection, suntan and napalm. Grenada, Haiti, Poland, Nicaragua
Who shall we choose for our morality? I'm thinking right now of Hollywood tragedy
Big Mac, Smack, Phoenix R please smile y'all. Cuba, Mexico can't cauterize our discipline
Your idols speak so much of the abyss, yet your morals only run as deep as the surface

Cool, groovy, morning, fine, Tipper Gore was a friend of mine
I love a free country, the stars and stripes and an apple for Mommy

(Conservative say) There ain't no black in the union jack
(Democrat say) There ain't enough white in the stars and stripes

Compton, Harlem, a pimp fucked a priest; the white man has just found a new moral saviour
Vital stats: how white was their skin? Unimportant, just another inner-city drive-by thing
Morning, fine, serve your first coffee of the day; real privilege, it will take your problems all away
Number one, the best, no excuse from me. I am here to serve the moral majority

Cool, groovy, morning, fine, Tipper Gore was a friend of mine
I love a free country, the stars and stripes and an apple for Mommy

Zapruder, the first to masturbate. The world's first taste of crucified grace
(And we say) There's not enough black in the union jack
(And we say) There's too much white in the stars and stripes

Fuck the Brady Bill. Fuck the Brady Bill
If God made man, they say, Sam Colt made him equal"
7,ML8,Emerson Hart,If You're Gonna Leave,sad,"Maybe I'm a joker

Maybe I'm a fool in your eyes

Maybe I'm the weak one

Maybe I'm a lie in disguise

Maybe I'm angry 'cause I'm the one who's always wrong

Maybe I'm not the one who's so strong

Did you think about it?

Did you pour it in and pull it out?

Could you live without me?

Did you ever really have a doubt?

Do you understand it, baby,

When you say ""It's over, it's done""?

Maybe I'm not the one

So if you're gonna leave

Yeah, you better get goin'

'Cause I ain't wastin' no more time

What you did and what you didn't

So if you're gonna leave

Yeah, you better start runnin'

'Cause I ain't wastin' no more time

On what mighta been

We can stand on reason

We can fight about all the things

This isn't forever

This is more than a wedding ring

But do you understand it, baby,

When you say ""It's over, it's done""?

Whoa, did it happen again?

With the things that you wanted for being a friend

How did it happen again?

Just look onward, baby

Someday you might need a friend

So if you're gonna leave

You better get goin'

'Cause I ain't wastin' no more time

With what we did and what we didn't

So if you're gonna leave

Yeah, you better start runnin'

'Cause I ain't wastin' no more time

No, I ain't wastin no more time

On what mighta been"
8,ML9,Megadeth,Architecture of Aggression,angry,"Born from the dark
In the black cloak of night
To envelop its prey below
Deliver to the light
To eliminate your enemy, hit them in their sleep
And when all is won and lost, the spoils of wars are yours to keep
Aw!

Great nations built from the bones of the dead with mud and straw
Blood and sweat, you know your worth
When your enemies praise your architecture of aggression
Praise your architecture of aggression

Hoo! Ensuing power vacuum
A toppled leader dies
His body fuels the power
Fire and the flames rise to the sky
One side of his face, a kiss, the other genocide
Time to pay
With your ass, a worldwide suicide

Great nations built from the bones of the dead with mud and straw
Blood and sweat, you know your worth
When your enemies praise your architecture of aggression

Born from the dark
In the black cloak of night
To envelop its prey below
Deliver to the light
To eliminate your enemy
Hit them in their sleep
And when all is won and lost, the spoils of war are yours to keep

Great nations built from the bones of the dead with mud and straw
Blood and sweat, you know your worth
When your enemies praise your architecture of aggression

Great nations built from the bones of the dead with mud and straw
Blood and sweat, you know your worth
When your enemies praise your architecture of aggression"
9,ML10,Blondie,Heart of Glass,happy,"Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing, only to find
Mucho mistrust, love's gone behind

Once I had a love and it was divine
Soon found out I was losin' my mind
Seemed like the real thing, but I was so blind
Mucho mistrust, love's gone behind

In between
What I find is pleasin'
And I'm feelin' fine
Love is so confusing,
There's no peace of mind
If I fear I'm losin' you
It's just not good
You teasin' like you do

Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing, my life is so fine
Mucho mistrust, love's gone behind

Lost inside
Adorable illusion
And I cannot hide
I'm the one you're usin'
Please don't push me aside
We could've made it cruisin', yeah

Yeah, ridin' high
On love's true bluish light

Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing, only to find
Mucho mistrust, love's gone behind

In between
What I find is pleasin'
And I'm feelin' fine
Love is so confusing
There's no peace of mind
If I fear I'm losin' you
It's just not good
You teasin' like you do"
